City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,28.98,88,87,4.02,EC,1699900781
1,touros,-5.1989,-35.4608,28.94,63,18,5.82,BR,1699900781
2,ilulissat,69.2167,-51.1,-4.99,58,75,8.23,GL,1699900782
3,mount gambier,-37.8333,140.7667,11.02,82,100,1.57,AU,1699900540
4,puerto baquerizo moreno,-0.9,-89.6,29.55,58,40,6.17,EC,1699900782
5,adamstown,-25.066,-130.1015,22.92,86,75,9.05,PN,1699900782
6,bilibino,68.0546,166.4372,-25.18,100,99,2.9,RU,1699900782
7,igarka,67.4667,86.5833,-9.99,93,100,6.06,RU,1699900782
8,puerto natales,-51.7236,-72.4875,6.25,56,75,17.49,CL,1699900782
9,nuuk,64.1835,-51.7216,-3.66,74,20,7.2,GL,1699900782
10,kemise,10.7167,39.8667,21.03,64,83,1.44,ET,1699900783
11,ribeira grande,38.5167,-28.7,16.54,82,75,6.69,PT,1699900783
12,bailesti,44.0167,23.35,9.86,62,97,1.25,RO,1699900783
13,iqaluit,63.7506,-68.5145,-17.15,64,20,2.06,CA,1699900783
14,tidjikja,18.5564,-11.4271,28.97,9,5,4.89,MR,1699900783
15,blackmans bay,-43.0167,147.3167,10.96,72,79,0.89,AU,1699900783
16,albany,42.6001,-73.9662,6.05,63,96,0.89,US,1699900646
17,fort mcmurray,56.7268,-111.381,-3.23,86,100,4.63,CA,1699900783
18,nar'yan-mar,67.6713,53.087,-13.27,97,100,3.58,RU,1699900784
19,namibe,-15.1961,12.1522,22.02,76,99,4.05,AO,1699900784
20,lompoc,34.6391,-120.4579,20.38,70,75,4.92,US,1699900784
21,grytviken,-54.2811,-36.5092,2.71,97,100,2.63,GS,1699900784
22,atafu village,-8.5421,-172.5159,29.38,74,100,4.01,TK,1699900784
23,stanley,54.868,-1.6985,8.77,87,75,10.29,GB,1699900780
24,wailua homesteads,22.0669,-159.378,25.44,73,40,7.72,US,1699900784
